ligand,affinity_kcal,output_file
phase2_7CHN_LIG_155119000,-10.86,docking/phase2_results/phase2_7CHN_LIG_155119000_out.pdbqt
phase2_7CHN_LIG_155118997,-10.735,docking/phase2_results/phase2_7CHN_LIG_155118997_out.pdbqt
phase2_7CHN_LIG_155118910,-10.439,docking/phase2_results/phase2_7CHN_LIG_155118910_out.pdbqt
phase2_7CHN_LIG_155109147,-10.341,docking/phase2_results/phase2_7CHN_LIG_155109147_out.pdbqt
phase2_7CHT_LIG_155119004,-10.334,docking/phase2_results/phase2_7CHT_LIG_155119004_out.pdbqt
phase2_7CHN_LIG_155109167,-10.333,docking/phase2_results/phase2_7CHN_LIG_155109167_out.pdbqt
phase2_7CHM_LIG_77846657,-10.314,docking/phase2_results/phase2_7CHM_LIG_77846657_out.pdbqt
phase2_7CHN_LIG_155109123,-10.311,docking/phase2_results/phase2_7CHN_LIG_155109123_out.pdbqt
phase2_7CHN_LIG_155118894,-10.293,docking/phase2_results/phase2_7CHN_LIG_155118894_out.pdbqt
phase2_7CHN_LIG_155109177,-10.224,docking/phase2_results/phase2_7CHN_LIG_155109177_out.pdbqt
phase2_7CHM_LIG_142416377,-10.186,docking/phase2_results/phase2_7CHM_LIG_142416377_out.pdbqt
phase2_7CHN_LIG_155118926,-10.182,docking/phase2_results/phase2_7CHN_LIG_155118926_out.pdbqt
phase2_7CHM_LIG_77846573,-10.158,docking/phase2_results/phase2_7CHM_LIG_77846573_out.pdbqt
phase2_7CHM_LIG_142436034,-10.153,docking/phase2_results/phase2_7CHM_LIG_142436034_out.pdbqt
phase2_7CHM_LIG_146329893,-10.15,docking/phase2_results/phase2_7CHM_LIG_146329893_out.pdbqt
phase2_7CHN_LIG_155109171,-10.138,docking/phase2_results/phase2_7CHN_LIG_155109171_out.pdbqt
phase2_7CHM_LIG_142416417,-10.081,docking/phase2_results/phase2_7CHM_LIG_142416417_out.pdbqt
phase2_7CHN_LIG_166866535,-10.03,docking/phase2_results/phase2_7CHN_LIG_166866535_out.pdbqt
phase2_7CHM_LIG_155558488,-9.99,docking/phase2_results/phase2_7CHM_LIG_155558488_out.pdbqt
phase2_7CHM_LIG_117884097,-9.946,docking/phase2_results/phase2_7CHM_LIG_117884097_out.pdbqt
phase2_7CHM_LIG_142436041,-9.903,docking/phase2_results/phase2_7CHM_LIG_142436041_out.pdbqt
phase2_7CHN_LIG_155109139,-9.868,docking/phase2_results/phase2_7CHN_LIG_155109139_out.pdbqt
phase2_7CHM_LIG_146289656,-9.861,docking/phase2_results/phase2_7CHM_LIG_146289656_out.pdbqt
phase2_7CHN_LIG_155109132,-9.86,docking/phase2_results/phase2_7CHN_LIG_155109132_out.pdbqt
phase2_7CHM_LIG_146329895,-9.852,docking/phase2_results/phase2_7CHM_LIG_146329895_out.pdbqt
phase2_7CHM_LIG_142416298,-9.85,docking/phase2_results/phase2_7CHM_LIG_142416298_out.pdbqt
phase2_7CHM_LIG_155012442,-9.83,docking/phase2_results/phase2_7CHM_LIG_155012442_out.pdbqt
phase2_7CHM_LIG_151620004,-9.829,docking/phase2_results/phase2_7CHM_LIG_151620004_out.pdbqt
phase2_7CHN_LIG_155118890,-9.813,docking/phase2_results/phase2_7CHN_LIG_155118890_out.pdbqt
phase2_7CHT_LIG_169729259,-9.805,docking/phase2_results/phase2_7CHT_LIG_169729259_out.pdbqt
phase2_7CHN_LIG_166866548,-9.799,docking/phase2_results/phase2_7CHN_LIG_166866548_out.pdbqt
phase2_7CHM_LIG_155554448,-9.75,docking/phase2_results/phase2_7CHM_LIG_155554448_out.pdbqt
phase2_7CHM_LIG_146329789,-9.747,docking/phase2_results/phase2_7CHM_LIG_146329789_out.pdbqt
phase2_7CHM_LIG_146393700,-9.732,docking/phase2_results/phase2_7CHM_LIG_146393700_out.pdbqt
phase2_7CHM_LIG_117881533,-9.725,docking/phase2_results/phase2_7CHM_LIG_117881533_out.pdbqt
phase2_7CHN_LIG_155109126,-9.721,docking/phase2_results/phase2_7CHN_LIG_155109126_out.pdbqt
phase2_7CHM_LIG_142416332,-9.708,docking/phase2_results/phase2_7CHM_LIG_142416332_out.pdbqt
phase2_7CHM_LIG_155545935,-9.696,docking/phase2_results/phase2_7CHM_LIG_155545935_out.pdbqt
phase2_7CHM_LIG_142416320,-9.689,docking/phase2_results/phase2_7CHM_LIG_142416320_out.pdbqt
phase2_7CHM_LIG_142416410,-9.689,docking/phase2_results/phase2_7CHM_LIG_142416410_out.pdbqt
phase2_7CHM_LIG_148694189,-9.686,docking/phase2_results/phase2_7CHM_LIG_148694189_out.pdbqt
phase2_7CJA_LIG_169728188,-9.664,docking/phase2_results/phase2_7CJA_LIG_169728188_out.pdbqt
phase2_7CIL_LIG_129275440,-9.659,docking/phase2_results/phase2_7CIL_LIG_129275440_out.pdbqt
phase2_7CHM_LIG_155564829,-9.642,docking/phase2_results/phase2_7CHM_LIG_155564829_out.pdbqt
phase2_7CHM_LIG_162614379,-9.641,docking/phase2_results/phase2_7CHM_LIG_162614379_out.pdbqt
phase2_7CHM_LIG_117881522,-9.632,docking/phase2_results/phase2_7CHM_LIG_117881522_out.pdbqt
phase2_7CHM_LIG_117881546,-9.63,docking/phase2_results/phase2_7CHM_LIG_117881546_out.pdbqt
phase2_7CHM_LIG_147772165,-9.628,docking/phase2_results/phase2_7CHM_LIG_147772165_out.pdbqt
phase2_7CHM_LIG_155548752,-9.616,docking/phase2_results/phase2_7CHM_LIG_155548752_out.pdbqt
phase2_7CHN_LIG_155109134,-9.608,docking/phase2_results/phase2_7CHN_LIG_155109134_out.pdbqt
phase2_7CHM_LIG_117881541,-9.579,docking/phase2_results/phase2_7CHM_LIG_117881541_out.pdbqt
phase2_7CHM_LIG_142416311,-9.557,docking/phase2_results/phase2_7CHM_LIG_142416311_out.pdbqt
phase2_7CHM_LIG_142416384,-9.545,docking/phase2_results/phase2_7CHM_LIG_142416384_out.pdbqt
phase2_7CHM_LIG_142436063,-9.536,docking/phase2_results/phase2_7CHM_LIG_142436063_out.pdbqt
phase2_7CHN_LIG_155691552,-9.529,docking/phase2_results/phase2_7CHN_LIG_155691552_out.pdbqt
phase2_7CHM_LIG_142416365,-9.527,docking/phase2_results/phase2_7CHM_LIG_142416365_out.pdbqt
phase2_7CHM_LIG_118286394,-9.52,docking/phase2_results/phase2_7CHM_LIG_118286394_out.pdbqt
phase2_7CHM_LIG_142416338,-9.482,docking/phase2_results/phase2_7CHM_LIG_142416338_out.pdbqt
phase2_7CHM_LIG_142416333,-9.468,docking/phase2_results/phase2_7CHM_LIG_142416333_out.pdbqt
phase2_7CHM_LIG_142416334,-9.46,docking/phase2_results/phase2_7CHM_LIG_142416334_out.pdbqt
phase2_7CHM_LIG_117881492,-9.448,docking/phase2_results/phase2_7CHM_LIG_117881492_out.pdbqt
phase2_7CHT_LIG_151121021,-9.439,docking/phase2_results/phase2_7CHT_LIG_151121021_out.pdbqt
phase2_7CHN_LIG_155119022,-9.431,docking/phase2_results/phase2_7CHN_LIG_155119022_out.pdbqt
phase2_7CHM_LIG_146393688,-9.424,docking/phase2_results/phase2_7CHM_LIG_146393688_out.pdbqt
phase2_7CHN_LIG_168793585,-9.416,docking/phase2_results/phase2_7CHN_LIG_168793585_out.pdbqt
phase2_7CHN_LIG_169729302,-9.416,docking/phase2_results/phase2_7CHN_LIG_169729302_out.pdbqt
phase2_7CHM_LIG_142416343,-9.414,docking/phase2_results/phase2_7CHM_LIG_142416343_out.pdbqt
phase2_7CHM_LIG_142416358,-9.402,docking/phase2_results/phase2_7CHM_LIG_142416358_out.pdbqt
phase2_7CHM_LIG_151973166,-9.398,docking/phase2_results/phase2_7CHM_LIG_151973166_out.pdbqt
phase2_7CHN_LIG_155109143,-9.384,docking/phase2_results/phase2_7CHN_LIG_155109143_out.pdbqt
phase2_7CHN_LIG_155109125,-9.378,docking/phase2_results/phase2_7CHN_LIG_155109125_out.pdbqt
phase2_7CHM_LIG_122490578,-9.374,docking/phase2_results/phase2_7CHM_LIG_122490578_out.pdbqt
phase2_7CHM_LIG_150071746,-9.37,docking/phase2_results/phase2_7CHM_LIG_150071746_out.pdbqt
phase2_7CIL_LIG_142755078,-9.341,docking/phase2_results/phase2_7CIL_LIG_142755078_out.pdbqt
